ensembl_transcript_id	transcript_version	target_id	ext_gene	description	num_aggregated_transcripts	sum_mean_obs_counts	pval	qval
ENSGALT00010063328	1	ENSGALG00010025971	TRAFD1	TRAF-type zinc finger domain containing 1 [Source:NCBI gene (formerly Entrezgene);Acc:416884]	5	22.395206470845345	2.71344053170105e-27	3.442270658515952e-23
ENSGALT00010019145	1	ENSGALG00010008029	LY6E	lymphocyte antigen 6 complex, locus E [Source:NCBI gene (formerly Entrezgene);Acc:395550]	2	10.653914917238042	2.259983001173118e-26	1.4335072176441086e-22
ENSGALT00010059866	1	ENSGALG00010024542	ZNFX1	zinc finger NFX1-type containing 1 [Source:HGNC Symbol;Acc:HGNC:29271]	2	14.312045981052155	4.066447701655225e-24	1.719565184773273e-20
ENSGALT00010030241	1	ENSGALG00010012633	USP18	ubiquitin specific peptidase 18 [Source:HGNC Symbol;Acc:HGNC:12616]	4	20.216722852070614	8.204936971367228e-23	2.6021957604691164e-19
ENSGALT00010010829	1	ENSGALG00010004663	NA	NA	4	20.92511075691236	2.5340913458311973e-22	6.429496562642913e-19
ENSGALT00010047590	1	ENSGALG00010019716	VEGFA	vascular endothelial growth factor A [Source:NCBI gene (formerly Entrezgene);Acc:395909]	5	21.540017621637837	7.22191626926524e-22	1.5269538298649805e-18
ENSGALT00010046700	1	ENSGALG00010019307	ATF3	activating transcription factor 3 [Source:HGNC Symbol;Acc:HGNC:785]	5	25.235596704564845	2.1266580901683558e-21	3.854112075982252e-18
ENSGALT00010023250	1	ENSGALG00010009731	NMI	N-myc and STAT interactor [Source:HGNC Symbol;Acc:HGNC:7854]	4	19.155548088199193	2.8821925669191148e-21	4.5704368629919865e-18
ENSGALT00010033158	1	ENSGALG00010013809	MX1	myxovirus (influenza virus) resistance 1, interferon-inducible protein p78 (mouse) [Source:NCBI gene (formerly Entrezgene);Acc:395313]	2	6.859582208992734	4.073469485651113e-21	5.741781543885558e-18
ENSGALT00010003132	1	ENSGALG00010001364	SMCHD1	structural maintenance of chromosomes flexible hinge domain containing 1 [Source:HGNC Symbol;Acc:HGNC:29090]	3	17.18579914428309	1.0730096164665057e-20	1.361219999449409e-17
ENSGALT00010054268	1	ENSGALG00010022308	OGFR	opioid growth factor receptor [Source:HGNC Symbol;Acc:HGNC:15768]	3	15.711879706165629	2.941597020946321e-20	3.3924636188840935e-17
ENSGALT00010024749	1	ENSGALG00010010351	NAMPTP1	nicotinamide phosphoribosyltransferase pseudo 1 [Source:NCBI gene (formerly Entrezgene);Acc:417707]	3	18.98317472828451	3.3863948284231213e-20	3.57998373278131e-17
ENSGALT00010033410	1	ENSGALG00010013934	STAT1	signal transducer and activator of transcription 1 [Source:NCBI gene (formerly Entrezgene);Acc:424044]	4	21.201159791456746	6.65019377995584e-20	6.489566022501521e-17
ENSGALT00010056829	1	ENSGALG00010023309	PIK3R3	phosphoinositide-3-kinase regulatory subunit 3 [Source:HGNC Symbol;Acc:HGNC:8981]	3	18.58507063526433	1.4539102030935189e-19	1.3174503454603128e-16
ENSGALT00010013120	1	ENSGALG00010005493	KLF6	Kruppel like factor 6 [Source:NCBI gene (formerly Entrezgene);Acc:420463]	4	21.702492968417282	1.8585579830753363e-19	1.571844438219581e-16
ENSGALT00010045819	1	ENSGALG00010018937	INHBB	inhibin beta B subunit [Source:NCBI gene (formerly Entrezgene);Acc:396126]	2	9.0459939474217	4.0001631152254786e-19	2.9850628988088483e-16
ENSGALT00010068919	1	ENSGALG00010028459	MCL1	BCL2 family apoptosis regulator [Source:NCBI gene (formerly Entrezgene);Acc:395674]	3	17.172877227102845	3.9082749108342573e-19	2.9850628988088483e-16
ENSGALT00010008339	1	ENSGALG00010003583	RSAD2	radical S-adenosyl methionine domain containing 2 [Source:NCBI gene (formerly Entrezgene);Acc:428650]	2	6.979982781473062	6.756663758484134e-19	4.761946468896096e-16
ENSGALT00010071511	1	ENSGALG00010029584	TRIM25	tripartite motif containing 25 [Source:NCBI gene (formerly Entrezgene);Acc:417401]	3	15.092955661831954	1.1758125198535259e-18	7.850714540453595e-16
ENSGALT00010060965	1	ENSGALG00010024965	STAT2	signal transducer and activator of transcription 2 [Source:HGNC Symbol;Acc:HGNC:11363]	2	11.605437169643992	2.4336670539817397e-18	1.5436750123406173e-15
ENSGALT00010018243	1	ENSGALG00010007658	BIRC2	baculoviral IAP repeat containing 2 [Source:NCBI gene (formerly Entrezgene);Acc:374012]	2	13.218191690942943	4.231271930419663e-18	2.556091224252564e-15
ENSGALT00010009488	1	ENSGALG00010004083	PHF11	PHD finger protein 11 [Source:NCBI gene (formerly Entrezgene);Acc:418867]	3	13.654687548511621	5.271977702537054e-18	2.9078395275819595e-15
ENSGALT00010037502	1	ENSGALG00010015585	BDKRB1	bradykinin receptor B1 [Source:NCBI gene (formerly Entrezgene);Acc:772372]	2	6.470587713512569	5.089851474359137e-18	2.9078395275819595e-15
ENSGALT00010031002	1	ENSGALG00010012917	RUNX1	runt-related transcription factor 1 [Source:NCBI gene (formerly Entrezgene);Acc:396152]	3	13.59663244544388	5.5580809183023096e-18	2.9379089387326293e-15
ENSGALT00010071223	1	ENSGALG00010029445	SPHK1	sphingosine kinase 1 [Source:HGNC Symbol;Acc:HGNC:11240]	3	17.266397353519015	9.769706179310426e-18	4.957539703629282e-15
ENSGALT00010060439	1	ENSGALG00010024761	NECAB2	N-terminal EF-hand calcium binding protein 2 [Source:HGNC Symbol;Acc:HGNC:23746]	4	18.58509135558255	2.36714458797103e-17	1.154984470884634e-14
ENSGALT00010003463	1	ENSGALG00010001499	TIPARP	TCDD inducible poly(ADP-ribose) polymerase [Source:HGNC Symbol;Acc:HGNC:23696]	3	16.1642549000829	6.071111566416288e-17	2.85252301227989e-14
ENSGALT00010064095	1	ENSGALG00010026334	NA	NA	3	17.253263290295596	1.1255586978509622e-16	5.0995848717633234e-14
ENSGALT00010039581	1	ENSGALG00010016426	HELZ2	helicase with zinc finger 2 [Source:HGNC Symbol;Acc:HGNC:30021]	2	14.124059408862404	1.7460989105223216e-16	7.638279578926266e-14
ENSGALT00010004316	1	ENSGALG00010001888	SNX10	sorting nexin 10 [Source:NCBI gene (formerly Entrezgene);Acc:420628]	3	7.584192355275187	2.207253602059359e-16	9.333739731908342e-14
ENSGALT00010052489	1	ENSGALG00010021619	FHOD1	formin homology 2 domain containing 1 [Source:NCBI gene (formerly Entrezgene);Acc:415672]	3	16.468644898730016	2.6197987780860184e-16	1.072089267703201e-13
ENSGALT00010058328	1	ENSGALG00010023954	PLEKHF1	pleckstrin homology and FYVE domain containing 1 [Source:HGNC Symbol;Acc:HGNC:20764]	5	20.75965460957464	3.705102509468112e-16	1.4688415760972648e-13
ENSGALT00010021993	1	ENSGALG00010009219	TNFRSF11B	TNF receptor superfamily member 11b [Source:NCBI gene (formerly Entrezgene);Acc:378803]	4	20.429529598569612	9.967542760439747e-16	3.831765074513292e-13
