target_id	logFC	AveExpr	t	P.Value	adj.P.Val	B	ensembl_transcript_id	transcript_version	ens_gene	ext_gene	description	gene_label	significant
ENSGALT00010000204.1	3.1998460031756175	-0.5896473654548111	3.7092054474049276	0.0028572439116296925	0.01463817495562908	-1.8353862669635777	ENSGALT00010000204	1	ENSGALG00010000114	NA	NA	ENSGALG00010000114	Upregulated in Infected
ENSGALT00010000453.1	2.9346904445790147	7.1984028133952735	15.45842045398212	1.935345023082066e-9	6.919794914787619e-7	12.201300536437143	ENSGALT00010000453	1	ENSGALG00010000225	LIF	LIF interleukin 6 family cytokine [Source:HGNC Symbol;Acc:HGNC:6596]	LIF	Upregulated in Infected
ENSGALT00010000678.1	3.046921068249375	5.441952402280229	16.33686724235333	1.008484995711501e-9	4.676042417057515e-7	12.88377553677595	ENSGALT00010000678	1	ENSGALG00010000356	NA	NA	ENSGALG00010000356	Upregulated in Infected
ENSGALT00010001049.1	-4.003819428467422	-0.7427343219248241	-2.838939500881701	0.014585682044926373	0.04857073750517167	-2.9394870776530984	ENSGALT00010001049	1	ENSGALG00010000501	NA	NA	ENSGALG00010000501	Downregulated in Infected
ENSGALT00010001099.1	2.15181603950071	-0.36654415518566674	3.0456175682452007	0.009891532976981301	0.03632794947543431	-2.5394268226523464	ENSGALT00010001099	1	ENSGALG00010000536	NA	NA	ENSGALG00010000536	Upregulated in Infected
ENSGALT00010001147.1	2.7111115924903273	1.8222168689129379	5.782283004703933	7.836738139713706e-5	0.0012022478275513734	1.870750209322984	ENSGALT00010001147	1	ENSGALG00010000554	NA	NA	ENSGALG00010000554	Upregulated in Infected
ENSGALT00010001163.1	3.5727658174493495	0.5604318812141946	4.230783770679784	0.0011002873271251665	0.007391263475063846	-0.7549562979432736	ENSGALT00010001163	1	ENSGALG00010000560	NA	NA	ENSGALG00010000560	Upregulated in Infected
ENSGALT00010001757.1	-2.8300240171344764	-0.04264937562030602	-2.869128272019506	0.013782211811018331	0.04656757277131114	-2.8341512875356596	ENSGALT00010001757	1	ENSGALG00010000800	LMO7	LIM domain 7 [Source:HGNC Symbol;Acc:HGNC:6646]	LMO7	Downregulated in Infected
ENSGALT00010002533.1	2.337165428980193	1.5682663710646936	2.9797962584187005	0.01119475411799144	0.039821134352958	-2.8195101475927875	ENSGALT00010002533	1	ENSGALG00010001114	MED12L	mediator complex subunit 12L [Source:HGNC Symbol;Acc:HGNC:16050]	MED12L	Upregulated in Infected
ENSGALT00010002982.1	-2.5288066233330597	-0.022993639880632945	-2.8196804715539723	0.015122290677388822	0.04996734829875621	-2.873790991420316	ENSGALT00010002982	1	ENSGALG00010001288	TGIF1	TGFB induced factor homeobox 1 [Source:NCBI gene (formerly Entrezgene);Acc:396339]	TGIF1	Downregulated in Infected
ENSGALT00010003156.1	3.2981396321794	6.529707849306826	13.004117222344641	1.4534307426947169e-8	2.517160367504413e-6	10.15670502601992	ENSGALT00010003156	1	ENSGALG00010001364	SMCHD1	structural maintenance of chromosomes flexible hinge domain containing 1 [Source:HGNC Symbol;Acc:HGNC:29090]	SMCHD1	Upregulated in Infected
ENSGALT00010003163.1	5.0425759976691	0.3234896992251891	6.925149035007441	1.3833449069115511e-5	3.6291112303450017e-4	1.199147202366687	ENSGALT00010003163	1	ENSGALG00010001372	NA	NA	ENSGALG00010001372	Upregulated in Infected
ENSGALT00010003301.1	2.214079708996897	0.11210447637781104	4.3129445684576995	9.491718669183962e-4	0.006633430626055173	-0.6353889672385167	ENSGALT00010003301	1	ENSGALG00010001434	NA	NA	ENSGALG00010001434	Upregulated in Infected
